Alternativa,arvore,dap,ht,secao,dcc
Criterion,13,18.5,26.2,19.3,8
Criterion,14,9.2,16.4,0.1,10.2
Criterion,14,9.2,16.4,0.7,9.5
Criterion,14,9.2,16.4,1.3,9.2
Criterion,14,9.2,16.4,2.3,8.9
Criterion,14,9.2,16.4,3.3,8.7
Criterion,14,9.2,16.4,4.3,8.7
Criterion,14,9.2,16.4,5.3,8.4
Criterion,14,9.2,16.4,6.3,7.5
Criterion,14,9.2,16.4,7.3,7.2
Criterion,14,9.2,16.4,8.3,6.9
Criterion,14,9.2,16.4,9.3,6.5
Criterion,14,9.2,16.4,10.3,5.9
Criterion,14,9.2,16.4,11.3,4.9
Criterion,15,15.8,25.1,0.1,17.4
Criterion,15,15.8,25.1,0.7,16.6
Criterion,15,15.8,25.1,1.3,15.8
Criterion,15,15.8,25.1,2.3,15.5
Criterion,15,15.8,25.1,3.3,15
Criterion,15,15.8,25.1,4.3,14.7
Criterion,15,15.8,25.1,5.3,13.8
Criterion,15,15.8,25.1,6.3,13.7
Criterion,15,15.8,25.1,7.3,13.5
Criterion,15,15.8,25.1,8.3,13.3
Criterion,15,15.8,25.1,9.3,12.9
Criterion,15,15.8,25.1,10.3,12.2
Criterion,15,15.8,25.1,11.3,12
Criterion,15,15.8,25.1,12.3,11.2
Criterion,15,15.8,25.1,13.3,10.7
Criterion,15,15.8,25.1,14.3,9.4
Criterion,15,15.8,25.1,15.3,8.4
Criterion,15,15.8,25.1,16.3,7.4
Criterion,15,15.8,25.1,17.3,7.1
Criterion,16,16,24.7,0.1,16.9
Criterion,16,16,24.7,0.7,16.1
Criterion,16,16,24.7,1.3,16
Criterion,16,16,24.7,2.3,15.1
Criterion,16,16,24.7,3.3,14.7
Criterion,16,16,24.7,4.3,14.4
Criterion,16,16,24.7,5.3,14.2
Criterion,16,16,24.7,6.3,14
Criterion,16,16,24.7,7.3,13.5
Criterion,16,16,24.7,8.3,13.3
Criterion,16,16,24.7,9.3,13
Criterion,16,16,24.7,10.3,12.9
Criterion,16,16,24.7,11.3,12.5
Criterion,16,16,24.7,12.3,11.7
Criterion,16,16,24.7,13.3,11.1
Criterion,16,16,24.7,14.3,10.2
Criterion,16,16,24.7,15.3,10
Criterion,16,16,24.7,16.3,8.7
Criterion,16,16,24.7,17.3,7.8
Criterion,16,16,24.7,18.3,7.3
Cubagem,1,12.5732405,17.92,0.1,14.29211389
Cubagem,1,12.5732405,17.92,0.3,13.4326772
Cubagem,1,12.5732405,17.92,0.7,13.08253632
Cubagem,1,12.5732405,17.92,1.3,12.5732405
Cubagem,1,12.5732405,17.92,2.3,11.93662073
Cubagem,1,12.5732405,17.92,3.3,11.61831085
Cubagem,1,12.5732405,17.92,4.3,11.07718404
Cubagem,1,12.5732405,17.92,5.3,10.82253613
Cubagem,1,12.5732405,17.92,6.3,10.02676141
Cubagem,1,12.5732405,17.92,7.3,9.421972631
Cubagem,1,12.5732405,17.92,8.3,9.199155711
Cubagem,1,12.5732405,17.92,9.3,8.467042972
Cubagem,1,12.5732405,17.92,10.3,7.703099246
Cubagem,1,12.5732405,17.92,11.3,7.161972439
Cubagem,1,12.5732405,17.92,12.3,6.68450761
Cubagem,1,12.5732405,17.92,13.3,5.602253997
Cubagem,1,12.5732405,17.92,14.3,5.156620156
Cubagem,1,12.5732405,17.92,15.3,3.628732702
Cubagem,1,12.5732405,17.92,16.3,2.960281942
Cubagem,1,12.5732405,17.92,17.3,1.909859317
Cubagem,2,20.05352283,28.9,0.1,23.23662169
Cubagem,2,20.05352283,28.9,0.3,21.00845249
Cubagem,2,20.05352283,28.9,0.7,20.94479051
Cubagem,2,20.05352283,28.9,1.3,20.05352283
Cubagem,2,20.05352283,28.9,2.3,19.576058
Cubagem,2,20.05352283,28.9,3.3,18.93943823
Cubagem,2,20.05352283,28.9,4.3,18.84394526
Cubagem,2,20.05352283,28.9,5.3,18.30281846
Cubagem,2,20.05352283,28.9,6.3,18.14366351
Cubagem,2,20.05352283,28.9,7.3,17.31605781
Cubagem,2,20.05352283,28.9,8.3,16.99774792
Cubagem,2,20.05352283,28.9,9.3,16.07464925
Cubagem,2,20.05352283,28.9,10.3,15.75633937
Cubagem,2,20.05352283,28.9,11.3,14.73774773
Cubagem,2,20.05352283,28.9,12.3,14.32394488
Cubagem,2,20.05352283,28.9,13.3,14.22845191
Cubagem,2,20.05352283,28.9,14.3,13.36901522
Cubagem,2,20.05352283,28.9,15.3,12.54140952
Cubagem,2,20.05352283,28.9,16.3,12.35042358
Cubagem,2,20.05352283,28.9,17.3,11.58647986
Cubagem,2,20.05352283,28.9,18.3,10.82253613
Cubagem,2,20.05352283,28.9,19.3,9.931268449
Cubagem,2,20.05352283,28.9,20.3,9.708451529
Cubagem,2,20.05352283,28.9,21.3,8.75352187
Cubagem,2,20.05352283,28.9,22.3,7.894085177
Cubagem,2,20.05352283,28.9,23.3,7.002817496
Cubagem,2,20.05352283,28.9,24.3,6.939155519
Cubagem,2,20.05352283,28.9,25.3,5.188451145
Cubagem,2,20.05352283,28.9,26.3,4.456338407
Cubagem,2,20.05352283,28.9,27.3,2.928450953
Cubagem,2,20.05352283,28.9,28.3,1.177746579
Cubagem,3,22.6636639,29.9,0.1,26.92901637
Cubagem,3,22.6636639,29.9,0.3,25.14648101
Cubagem,3,22.6636639,29.9,0.7,23.61859355
Cubagem,3,22.6636639,29.9,1.3,22.6636639
Cubagem,3,22.6636639,29.9,2.3,21.67690325
Cubagem,3,22.6636639,29.9,3.3,21.29493139
Cubagem,3,22.6636639,29.9,4.3,20.62648062
Cubagem,3,22.6636639,29.9,5.3,20.1490158
Cubagem,3,22.6636639,29.9,6.3,19.89436789
Cubagem,3,22.6636639,29.9,7.3,19.79887492
Cubagem,3,22.6636639,29.9,8.3,19.25774811
Cubagem,3,22.6636639,29.9,9.3,18.58929735
Cubagem,3,22.6636639,29.9,10.3,18.20732549
Cubagem,3,22.6636639,29.9,11.3,17.25239583
Cubagem,3,22.6636639,29.9,12.3,16.39295914
Cubagem,3,22.6636639,29.9,13.3,15.91549431
Cubagem,3,22.6636639,29.9,14.3,15.31070553
Cubagem,3,22.6636639,29.9,15.3,14.89690267
Cubagem,3,22.6636639,29.9,16.3,14.70591674
Cubagem,3,22.6636639,29.9,17.3,13.75098708
Cubagem,3,22.6636639,29.9,18.3,12.66873347
Cubagem,3,22.6636639,29.9,19.3,11.7456348
Cubagem,3,22.6636639,29.9,20.3,10.82253613
Cubagem,3,22.6636639,29.9,21.3,10.72704316
Cubagem,3,22.6636639,29.9,22.3,9.581127574
Cubagem,3,22.6636639,29.9,23.3,8.276057041
Cubagem,3,22.6636639,29.9,24.3,7.575775291
Cubagem,3,22.6636639,29.9,25.3,6.589014644
Cubagem,3,22.6636639,29.9,26.3,5.252113122
Cubagem,3,22.6636639,29.9,27.3,3.660563691
Cubagem,3,22.6636639,29.9,28.3,2.100845249
Cubagem,3,22.6636639,29.9,29.3,0.954929659
Cubagem,4,12.44591655,20.22,0.1,14.35577587
Cubagem,4,12.44591655,20.22,0.3,13.36901522
Cubagem,4,12.44591655,20.22,0.7,12.92338138
Cubagem,4,12.44591655,20.22,1.3,12.44591655
Cubagem,4,12.44591655,20.22,2.3,12.25493062
Cubagem,4,12.44591655,20.22,3.3,11.61831085
Cubagem,4,12.44591655,20.22,4.3,11.39549393
Cubagem,4,12.44591655,20.22,5.3,10.98169107
Cubagem,4,12.44591655,20.22,6.3,10.3450713
Cubagem,4,12.44591655,20.22,7.3,9.740282517
Cubagem,4,12.44591655,20.22,8.3,9.294648677
Cubagem,4,12.44591655,20.22,9.3,8.849014836
Cubagem,4,12.44591655,20.22,10.3,8.307888029
Cubagem,4,12.44591655,20.22,11.3,8.05324012
Cubagem,4,12.44591655,20.22,12.3,7.257465405
Cubagem,4,12.44591655,20.22,13.3,6.843662553
Cubagem,4,12.44591655,20.22,14.3,6.207042781
Cubagem,4,12.44591655,20.22,15.3,5.888732894
Cubagem,4,12.44591655,20.22,16.3,4.965634224
Cubagem,4,12.44591655,20.22,17.3,4.456338407
Cubagem,4,12.44591655,20.22,18.3,3.501408748
Cubagem,4,12.44591655,20.22,19.3,1.655211408
Cubagem,5,11.87295875,19,0.1,13.30535324
Cubagem,5,11.87295875,19,0.3,12.44591655
Cubagem,5,11.87295875,19,0.7,12.09577567
Cubagem,5,11.87295875,19,1.3,11.87295875
Cubagem,5,11.87295875,19,2.3,11.52281788
Cubagem,5,11.87295875,19,3.3,10.88619811
Cubagem,5,11.87295875,19,4.3,10.50422624
Cubagem,5,11.87295875,19,5.3,9.963099438
Cubagem,5,11.87295875,19,6.3,9.421972631
Cubagem,5,11.87295875,19,7.3,8.944507802
Cubagem,5,11.87295875,19,8.3,8.53070495
Cubagem,5,11.87295875,19,9.3,8.116902098
Cubagem,5,11.87295875,19,10.3,7.798592212
Cubagem,5,11.87295875,19,11.3,7.098310462
Cubagem,5,11.87295875,19,12.3,6.716338598
Cubagem,5,11.87295875,19,13.3,6.207042781
Cubagem,5,11.87295875,19,14.3,5.665915974
Cubagem,5,11.87295875,19,15.3,5.156620156
Cubagem,5,11.87295875,19,16.3,4.806479281
Cubagem,5,11.87295875,19,17.3,3.883380611
Cubagem,5,11.87295875,19,18.3,2.228169203
Cubagem,6,11.4591559,18.38,0.1,13.17802929
Cubagem,6,11.4591559,18.38,0.3,12.0321137
Cubagem,6,11.4591559,18.38,0.7,11.77746579
Cubagem,6,11.4591559,18.38,1.3,11.4591559
Cubagem,6,11.4591559,18.38,2.3,10.94986008
Cubagem,6,11.4591559,18.38,3.3,10.53605723
Cubagem,6,11.4591559,18.38,4.3,10.02676141
Cubagem,6,11.4591559,18.38,5.3,9.421972631
Cubagem,6,11.4591559,18.38,6.3,9.071831756
Cubagem,6,11.4591559,18.38,7.3,8.594366927
Cubagem,6,11.4591559,18.38,8.3,8.116902098
Cubagem,6,11.4591559,18.38,9.3,7.543944303
Cubagem,6,11.4591559,18.38,10.3,6.748169587
Cubagem,6,11.4591559,18.38,11.3,6.207042781
Cubagem,6,11.4591559,18.38,12.3,6.079718826
Cubagem,6,11.4591559,18.38,13.3,5.188451145
Cubagem,6,11.4591559,18.38,14.3,4.647324338
Cubagem,6,11.4591559,18.38,15.3,4.042535555
Cubagem,6,11.4591559,18.38,16.3,3.278591828
Cubagem,7,10.12225438,16.42,0.1,11.80929678
Cubagem,7,10.12225438,16.42,0.3,10.82253613
Cubagem,7,10.12225438,16.42,0.7,10.66338119
Cubagem,7,10.12225438,16.42,1.3,10.12225438
Cubagem,7,10.12225438,16.42,2.3,9.581127574
Cubagem,7,10.12225438,16.42,3.3,9.262817688
Cubagem,7,10.12225438,16.42,4.3,8.880845825
Cubagem,7,10.12225438,16.42,5.3,8.276057041
Cubagem,7,10.12225438,16.42,6.3,7.798592212
Cubagem,7,10.12225438,16.42,7.3,7.384789359
Cubagem,7,10.12225438,16.42,8.3,6.939155519
Cubagem,7,10.12225438,16.42,9.3,6.843662553
Cubagem,7,10.12225438,16.42,10.3,5.888732894
Cubagem,7,10.12225438,16.42,11.3,5.443099054
Cubagem,7,10.12225438,16.42,12.3,4.933803236
Cubagem,7,10.12225438,16.42,13.3,4.201690498
Cubagem,7,10.12225438,16.42,14.3,2.960281942
Cubagem,7,10.12225438,16.42,15.3,2.482817112
Cubagem,8,14.89690267,24.8,0.1,17.18873385
Cubagem,8,14.89690267,24.8,0.3,15.9473253
Cubagem,8,14.89690267,24.8,0.7,15.27887454
Cubagem,8,14.89690267,24.8,1.3,14.89690267
Cubagem,8,14.89690267,24.8,2.3,14.48309982
Cubagem,8,14.89690267,24.8,3.3,14.06929697
Cubagem,8,14.89690267,24.8,4.3,13.59183214
Cubagem,8,14.89690267,24.8,5.3,13.1461983
Cubagem,8,14.89690267,24.8,6.3,12.8597194
Cubagem,8,14.89690267,24.8,7.3,12.28676161
Cubagem,8,14.89690267,24.8,8.3,12.12760666
Cubagem,8,14.89690267,24.8,9.3,11.14084602
Cubagem,8,14.89690267,24.8,10.3,10.9180291
Cubagem,8,14.89690267,24.8,11.3,10.44056427
Cubagem,8,14.89690267,24.8,12.3,9.89943746
Cubagem,8,14.89690267,24.8,13.3,9.040000768
Cubagem,8,14.89690267,24.8,14.3,8.75352187
Cubagem,8,14.89690267,24.8,15.3,7.639437268
Cubagem,8,14.89690267,24.8,16.3,7.034648485
Cubagem,8,14.89690267,24.8,17.3,6.843662553
Cubagem,8,14.89690267,24.8,18.3,5.888732894
Cubagem,8,14.89690267,24.8,19.3,5.76140894
Cubagem,8,14.89690267,24.8,20.3,4.870141259
Cubagem,8,14.89690267,24.8,21.3,3.883380611
Cubagem,8,14.89690267,24.8,22.3,2.99211293
Cubagem,8,14.89690267,24.8,23.3,2.037183272
Cubagem,8,14.89690267,24.8,24.3,0.954929659
Cubagem,9,17.28422682,25.73,0.1,19.35324108
Cubagem,9,17.28422682,25.73,0.3,18.4619734
Cubagem,9,17.28422682,25.73,0.7,17.72986066
Cubagem,9,17.28422682,25.73,1.3,17.28422682
Cubagem,9,17.28422682,25.73,2.3,16.55211408
Cubagem,9,17.28422682,25.73,3.3,16.04281826
Cubagem,9,17.28422682,25.73,4.3,15.21521256
Cubagem,9,17.28422682,25.73,5.3,14.80140971
Cubagem,9,17.28422682,25.73,6.3,14.48309982
Cubagem,9,17.28422682,25.73,7.3,14.00563499
Cubagem,9,17.28422682,25.73,8.3,13.91014203
Cubagem,9,17.28422682,25.73,9.3,13.87831104
Cubagem,9,17.28422682,25.73,10.3,12.5732405
Cubagem,9,17.28422682,25.73,11.3,11.71380381
Cubagem,9,17.28422682,25.73,12.3,11.17267701
Cubagem,9,17.28422682,25.73,13.3,10.59971921
Cubagem,9,17.28422682,25.73,14.3,10.02676141
Cubagem,9,17.28422682,25.73,15.3,9.358310654
Cubagem,9,17.28422682,25.73,16.3,8.849014836
Cubagem,9,17.28422682,25.73,17.3,7.957747155
Cubagem,9,17.28422682,25.73,18.3,7.448451337
Cubagem,9,17.28422682,25.73,19.3,6.620845633
Cubagem,9,17.28422682,25.73,20.3,6.238873769
Cubagem,9,17.28422682,25.73,21.3,4.997465213
Cubagem,9,17.28422682,25.73,22.3,4.169859509
Cubagem,9,17.28422682,25.73,23.3,2.864788976
Cubagem,9,17.28422682,25.73,24.3,1.62338042
Cubagem,10,18.39831142,27.84,0.1,20.6901426
Cubagem,10,18.39831142,27.84,0.3,19.98986085
Cubagem,10,18.39831142,27.84,0.7,19.06676218
Cubagem,10,18.39831142,27.84,1.3,18.39831142
Cubagem,10,18.39831142,27.84,2.3,18.14366351
Cubagem,10,18.39831142,27.84,3.3,17.63436769
Cubagem,10,18.39831142,27.84,4.3,17.53887473
Cubagem,10,18.39831142,27.84,5.3,17.37971979
Cubagem,10,18.39831142,27.84,6.3,16.55211408
Cubagem,10,18.39831142,27.84,7.3,15.9473253
Cubagem,10,18.39831142,27.84,8.3,15.75633937
Cubagem,10,18.39831142,27.84,9.3,14.86507168
Cubagem,10,18.39831142,27.84,10.3,14.64225476
Cubagem,10,18.39831142,27.84,11.3,14.32394488
Cubagem,10,18.39831142,27.84,12.3,13.52817016
Cubagem,10,18.39831142,27.84,13.3,13.36901522
Cubagem,10,18.39831142,27.84,14.3,12.3185926
Cubagem,10,18.39831142,27.84,15.3,11.77746579
Cubagem,10,18.39831142,27.84,16.3,11.55464887
Cubagem,10,18.39831142,27.84,17.3,10.50422624
Cubagem,10,18.39831142,27.84,18.3,9.708451529
Cubagem,10,18.39831142,27.84,19.3,9.549296586
Cubagem,10,18.39831142,27.84,20.3,8.435211984
Cubagem,10,18.39831142,27.84,21.3,7.703099246
Cubagem,10,18.39831142,27.84,22.3,7.512113314
Cubagem,10,18.39831142,27.84,23.3,6.238873769
Cubagem,10,18.39831142,27.84,24.3,5.092958179
Cubagem,10,18.39831142,27.84,25.3,3.883380611
Cubagem,10,18.39831142,27.84,26.3,2.323662169
Cubagem,11,18.36648043,27.22,0.1,20.75380458
Cubagem,11,18.36648043,27.22,0.3,20.6901426
Cubagem,11,18.36648043,27.22,0.7,18.93943823
Cubagem,11,18.36648043,27.22,1.3,18.36648043
Cubagem,11,18.36648043,27.22,2.3,17.98450857
Cubagem,11,18.36648043,27.22,3.3,17.8890156
Cubagem,11,18.36648043,27.22,4.3,17.76169165
